"","SAMPLE_ID","CLAY","SILT","SAND","SOC","CaCO3","N","P","K","CEC","GPS_PROJ","GPS_LAT","GPS_LONG","LC1","LC2","LU1","LU2","MINERAL","COUNTRY"
"670","1854",17,74,9,74.8,27,4.9,10,73.5,34.3,"WGS84",51.36538,7.6591,"C10","8","U364","U361","mineral","GERMANY"
"671","1855",12,84,4,13.6,1,1.3,44.7,195.6,9.5,"WGS84",51.52931,7.76606,"B21","8","U111","8","mineral","GERMANY"
"672","1856",14,76,10,23.2,5,1.7,58.1,190.5,14,"WGS84",51.59947,7.67591,"C10","8","U400","8","mineral","GERMANY"
"673","1857",16,75,9,22.4,9,1.4,80.5,255,15.1,"WGS84",51.56579,7.79307,"E20","8","U111","8","mineral","GERMANY"
"674","1858",14,84,2,13,0,1.3,52.2,152.9,13.7,"WGS84",51.58483,7.84993,"B32","8","U111","8","mineral","GERMANY"
"675","1859",38,29,33,36.1,53,3.3,62.3,259.1,35.3,"WGS84",51.74913,7.98697,"E20","8","U111","8","mineral","GERMANY"
"676","1860",14,80,6,13.4,0,1.5,45.4,202.7,12.2,"WGS84",51.51551,7.99724,"B13","8","U111","8","mineral","GERMANY"
"677","1861",15,64,21,117.2,0,4.2,52.2,208.8,12.9,"WGS84",51.42363,7.0518,"C10","8","U361","U120","organic","GERMANY"
"678","1862",7,27,66,32.1,0,1.4,12,35.5,6.5,"WGS84",51.66584,7.41233,"C10","8","U364","U361","mineral","GERMANY"
"679","1863",5,15,81,12.1,0,1.1,61.3,147.7,5.9,"WGS84",51.7358,7.32138,"B13","8","U111","8","mineral","GERMANY"
"680","1864",13,62,24,15.8,0,0.7,0,31.3,8.9,"WGS84",51.39319,7.28391,"C10","8","U361","8","mineral","GERMANY"
"681","1865",16,78,6,11,0,0.9,0,48.2,3.9,"WGS84",51.35792,7.31474,"C30","8","U120","8","mineral","GERMANY"
"682","1866",19,49,31,22.8,1,1.5,0,47.7,8.1,"WGS84",51.28672,7.34756,"C10","8","U120","U361","mineral","GERMANY"
"683","1867",18,74,8,21,0,1.9,36.2,187.5,6.6,"WGS84",51.30407,7.31784,"F00","8","U330","8","mineral","GERMANY"
"684","1868",18,74,8,37.3,1,1.9,0,36.3,8.2,"WGS84",51.19625,7.32414,"C20","8","U120","8","mineral","GERMANY"
"685","1869",35,47,18,36,2,3.4,55.4,89,24.8,"WGS84",51.55796,6.69672,"E20","8","U111","U364","mineral","GERMANY"
"686","1870",4,7,89,26.8,0,0.9,0,28.8,0,"WGS84",51.39955,6.82324,"C10","8","U120","U361","mineral","GERMANY"
"687","1871",13,19,68,17.8,4,1.7,61.9,179.8,14.6,"WGS84",51.687,7.55569,"B54","8","U111","8","mineral","GERMANY"
"688","1872",19,23,58,15.8,7,1.5,79.9,281.7,11.1,"WGS84",51.77615,7.52187,"B11","8","U111","8","mineral","GERMANY"
"689","1873",5,14,81,10.7,0,1,88,55.3,3.6,"WGS84",51.90601,7.71833,"B13","8","U111","8","mineral","GERMANY"
"690","1874",18,71,11,25.1,0,1.8,0,95.2,10.9,"WGS84",51.94416,7.83288,"C10","8","U364","U120","mineral","GERMANY"
"691","1875",14,22,63,9.6,1,1.1,70.5,140.4,10.5,"WGS84",51.92774,7.92087,"B13","8","U111","8","mineral","GERMANY"
"692","1876",12,14,74,12.4,0,1.5,10.2,176.2,9.2,"WGS84",51.85538,7.89513,"B16","8","U111","8","mineral","GERMANY"
"693","1877",5,16,79,15.6,0,1.2,93.2,150.4,3.1,"WGS84",52.01207,7.62548,"B21","8","U111","8","mineral","GERMANY"
"694","1878",19,20,61,23.5,1,2.6,15.2,39.5,15.6,"WGS84",52.0456,7.50704,"E20","8","U111","8","mineral","GERMANY"
"695","1879",9,83,8,13.2,1,1.3,31.8,64.1,8,"WGS84",51.93783,7.51302,"B11","8","U111","8","mineral","GERMANY"
"696","1880",18,20,62,12.8,0,1.6,60.2,222.4,12.5,"WGS84",51.83302,7.66397,"B13","8","U111","8","mineral","GERMANY"
"697","1881",13,78,9,8.2,1,0.8,61.8,146.4,10.5,"WGS84",51.15966,6.61082,"B43","8","U111","8","mineral","GERMANY"
"698","1882",8,47,46,26.4,0,1.4,0,21.7,5.9,"WGS84",51.18778,6.35092,"C30","8","U120","U361","mineral","GERMANY"
